"id","host_since","host_is_superhost","host_listings_count","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","price","cleaning_fee","guests_included","extra_people","number_of_reviews","review_scores_rating"
81635,2011-03-15,TRUE,2,51.52842,-0.11141,"Private room",2,1.5,1,"$99.00","$45.00",1,"$90.00",52,99
84223,2011-03-24,TRUE,5,51.48656,-0.10654,"Private room",2,1.5,1,"$65.00","$40.00",1,"$0.00",332,95
85406,2011-03-28,TRUE,2,51.51848,-0.18554,"Entire home/apt",4,2,2,"$145.00","$60.00",4,"$45.00",33,98
87514,2011-01-18,TRUE,1,51.52509,-0.1144,"Entire home/apt",4,1,1,"$99.00","$40.00",2,"$20.00",171,94
90549,2011-04-07,TRUE,1,51.49798,-0.01325,"Private room",2,1,1,"$75.00","$25.00",1,"$20.00",86,98
90681,2011-04-07,TRUE,2,51.44762,-0.05716,"Private room",2,1,1,"$55.00","$25.00",1,"$25.00",64,95
92399,2011-04-10,TRUE,3,51.55071,-0.08547,"Private room",2,1,1,"$77.00","$40.00",1,"$50.00",196,97
93457,2010-09-07,TRUE,2,51.53901,-0.13596,"Entire home/apt",4,1,1,"$100.00","$10.00",2,"$30.00",172,96
93779,2011-04-12,TRUE,2,51.52687,-0.06347,"Entire home/apt",4,2,2,"$220.00","$30.00",2,"$20.00",17,94
94138,2011-04-12,TRUE,1,51.52807,-0.05133,"Entire home/apt",4,1,1,"$70.00","$0.00",2,"$20.00",34,96
97178,2011-04-15,TRUE,1,51.52099,-0.22852,"Private room",2,2,1,"$49.00","$0.00",1,"$10.00",267,98
97583,2011-04-17,TRUE,3,51.60796,-0.12551,"Private room",1,1,1,"$39.00","$20.00",1,"$0.00",76,94
100326,2011-04-22,TRUE,1,51.56485,-0.05612,"Private room",1,0.5,1,"$33.00","$5.00",1,"$0.00",105,95
102391,2011-04-25,TRUE,3,51.54647,-0.05664,"Entire home/apt",6,1,3,"$140.00","$50.00",1,"$25.00",27,90
103682,2011-04-27,TRUE,3,51.5333,-0.03032,"Private room",3,1.5,1,"$60.00","$20.00",1,"$10.00",43,99
107048,2010-10-11,TRUE,4,51.52407,-0.10554,"Private room",2,1,1,"$130.00","$20.00",1,"$0.00",440,96
107051,2011-05-03,TRUE,1,51.52116,-0.18359,"Entire home/apt",4,1,2,"$160.00","$25.00",2,"$15.00",412,98
117203,2010-10-06,TRUE,1,51.50067,-0.23288,"Entire home/apt",2,1,1,"$115.00","$70.00",2,"$40.00",51,96
118832,2011-05-16,TRUE,2,51.54926,-0.11551,"Entire home/apt",4,1,2,"$110.00","$50.00",2,"$15.00",22,97
128581,2011-04-12,TRUE,2,51.52618,-0.06273,"Private room",2,1,1,"$75.00","$30.00",1,"$0.00",12,98
131444,2011-05-31,TRUE,1,51.48974,-0.11116,"Entire home/apt",3,1,1,"$90.00","$24.00",3,"$0.00",108,95
137581,2011-03-29,TRUE,2,51.51173,-0.07659,"Entire home/apt",2,1,1,"$130.00","$50.00",2,"$20.00",211,98
137907,2010-01-04,TRUE,19,51.52092,-0.14119,"Entire home/apt",3,1,1,"$146.00","$45.00",2,"$5.00",48,94
142117,2010-08-05,TRUE,1,51.52902,-0.08944,"Entire home/apt",3,1,1,"$135.00","$50.00",2,"$20.00",78,99
156966,2011-06-02,TRUE,2,51.48795,-0.10001,"Private room",2,1,1,"$40.00","$20.00",1,"$10.00",156,96
157714,2011-06-29,TRUE,1,51.48847,-0.22097,"Private room",4,1.5,1,"$45.00","$10.00",1,"$25.00",139,94
159736,2011-07-01,TRUE,4,51.46832,-0.10103,"Private room",2,1,1,"$30.00","$12.00",1,"$10.00",78,93
165336,2011-06-30,TRUE,1,51.51895,-0.21202,"Entire home/apt",2,1,1,"$75.00","$50.00",1,"$10.00",155,94
168348,2011-07-10,TRUE,2,51.51751,-0.19932,"Entire home/apt",2,1,1,"$130.00","$50.00",2,"$15.00",143,98
172629,2011-03-29,TRUE,2,51.4946,-0.19441,"Private room",2,1,1,"$85.00","$0.00",2,"$0.00",116,98
180449,2011-07-25,TRUE,3,51.46932,-0.15277,"Private room",2,1,1,"$57.00","$15.00",1,"$18.00",153,97
182802,2011-07-27,TRUE,1,51.4375,-0.32165,"Private room",2,1,1,"$50.00","$0.00",1,"$20.00",149,96
183019,2011-06-02,TRUE,2,51.48687,-0.09989,"Private room",2,1,1,"$45.00","$20.00",1,"$20.00",245,94
186682,2011-07-31,TRUE,1,51.5422,-0.20218,"Entire home/apt",3,1,1,"$80.00","$20.00",2,"$30.00",26,96
193794,2011-08-08,TRUE,2,51.48745,-0.18869,"Private room",1,1,1,"$35.00","$25.00",1,"$0.00",153,96
198771,2011-08-14,TRUE,1,51.48416,-0.10375,"Private room",2,1,1,"$44.00","$5.00",1,"$20.00",91,91
203163,2011-03-24,TRUE,5,51.48615,-0.10677,"Private room",2,1.5,1,"$55.00","$40.00",1,"$10.00",68,98
207912,2011-08-26,TRUE,4,51.36819,-0.12188,"Private room",2,1.5,1,"$35.00","$12.00",1,"$15.00",63,94
213024,2011-09-01,TRUE,1,51.53023,-0.19886,"Entire home/apt",1,1,1,"$80.00","$50.00",1,"$0.00",13,91
219665,2011-07-17,TRUE,1,51.4746,-0.07802,"Private room",2,1,1,"$40.00","$10.00",1,"$20.00",133,96
228195,2011-08-08,TRUE,2,51.48748,-0.18974,"Entire home/apt",3,1,2,"$95.00","$0.00",1,"$0.00",51,94
231854,2010-10-11,TRUE,4,51.5208,-0.0995,"Private room",2,1,1,"$140.00","$20.00",1,"$0.00",304,95
234776,2011-09-24,TRUE,2,51.49039,-0.19595,"Private room",2,1,1,"$73.00","$0.00",1,"$35.00",212,95
236716,2011-10-03,TRUE,1,51.56593,-0.07482,"Private room",2,1,1,"$45.00","$0.00",1,"$10.00",161,97
238349,2011-10-05,TRUE,2,51.49595,-0.2293,"Entire home/apt",3,1,1,"$120.00","$50.00",1,"$0.00",114,95
238711,2011-10-05,TRUE,1,51.51022,-0.19395,"Entire home/apt",2,1,1,"$170.00","$40.00",2,"$0.00",184,97
239955,2011-10-07,TRUE,2,51.59914,-0.15154,"Private room",1,1,1,"$33.00","$30.00",1,"$20.00",5,92
241621,2011-10-09,TRUE,2,51.42864,-0.15701,"Private room",2,1.5,1,"$39.00","$0.00",1,"$0.00",107,94
254629,2009-01-16,TRUE,2,51.55518,-0.07673,"Entire home/apt",6,2,3,"$91.00","$50.00",4,"$10.00",18,97
256456,2011-10-29,TRUE,2,51.53347,-0.18015,"Entire home/apt",2,1,1,"$85.00","$150.00",1,"$0.00",14,97
266037,2011-11-11,TRUE,1,51.52799,-0.12808,"Private room",1,1,1,"$55.00","$5.00",1,"$0.00",507,98
280894,2011-12-02,TRUE,2,51.49929,-0.08871,"Entire home/apt",2,1,1,"$115.00","$25.00",1,"$22.00",23,96
285983,2011-12-09,TRUE,2,51.53517,-0.09286,"Entire home/apt",2,1.5,1,"$115.00","$50.00",1,"$0.00",52,96
299735,2011-12-28,TRUE,1,51.58548,-0.07469,"Entire home/apt",6,1,2,"$99.00","$0.00",4,"$15.00",96,84
304918,2010-10-11,TRUE,4,51.5244,-0.10233,"Private room",2,1,1,"$140.00","$20.00",1,"$0.00",280,96
307923,2012-01-09,TRUE,1,51.52293,-0.46245,"Private room",2,1,1,"$31.00","$0.00",1,"$20.00",83,96
308005,2010-01-04,TRUE,19,51.52115,-0.1397,"Entire home/apt",3,1,1,"$179.00","$45.00",2,"$4.00",50,96
310107,2011-03-14,TRUE,2,51.56207,-0.10059,"Private room",2,1,1,"$47.00","$30.00",2,"$32.00",6,96
311430,2011-07-01,TRUE,4,51.46721,-0.10136,"Private room",2,1,1,"$30.00","$12.00",1,"$10.00",14,98
312557,2010-03-21,TRUE,2,51.52773,-0.13097,"Entire home/apt",2,1,1,"$100.00","$30.00",1,"$0.00",76,98
312761,2012-01-15,TRUE,2,51.52802,-0.08093,"Entire home/apt",2,1,1,"$150.00","$60.00",1,"$5.00",78,99
316137,2012-01-18,TRUE,6,51.54462,-0.14696,"Private room",3,1,1,"$80.00","$25.00",2,"$25.00",31,92
325673,2012-01-28,TRUE,5,51.54368,-0.17332,"Private room",3,1,1,"$40.00","$35.00",1,"$20.00",91,93
326655,2009-10-03,TRUE,3,51.46276,-0.11724,"Entire home/apt",4,1,1,"$125.00","$30.00",2,"$20.00",20,95
334310,2012-02-05,TRUE,4,51.45735,-0.01614,"Private room",2,2,1,"$36.00","$24.00",1,"$14.00",155,97
338354,2012-02-08,TRUE,1,51.4686,-0.04931,"Private room",1,1,1,"$35.00","$8.00",1,"$10.00",83,99
338896,2012-02-08,TRUE,3,51.59635,-0.19098,"Private room",1,1,1,"$28.00","$10.00",1,"$0.00",19,98
343062,2012-01-31,TRUE,6,51.50893,0.01881,"Private room",2,1,1,"$38.00","$30.00",1,"$10.00",217,95
343149,2011-04-14,TRUE,3,51.51697,-0.18231,"Entire home/apt",7,2.5,2,"$165.00","$140.00",2,"$40.00",29,90
343848,2012-02-13,TRUE,3,51.64879,-0.11822,"Private room",3,1.5,1,"$25.00","$12.00",1,"$8.00",43,98
344094,2012-02-13,TRUE,4,51.41868,-0.12462,"Private room",2,1.5,1,"$24.00","$10.00",1,"$17.00",151,93
344102,2012-02-13,TRUE,4,51.41757,-0.12453,"Private room",3,1.5,0,"$23.00","$10.00",1,"$17.00",146,94
346631,2010-05-30,TRUE,1,51.55925,-0.14276,"Entire home/apt",5,1.5,2,"$120.00","$30.00",2,"$10.00",3,100
347389,2011-08-31,TRUE,4,51.50062,0.03117,"Private room",2,1,1,"$115.00","$0.00",1,"$25.00",20,100
347849,2012-02-16,TRUE,3,51.44217,-0.1376,"Entire home/apt",6,1,3,"$129.00","$30.00",4,"$0.00",26,97
347896,2012-02-16,TRUE,3,51.44553,-0.13773,"Private room",1,1,1,"$30.00","$10.00",1,"$30.00",105,99
348215,2012-01-18,TRUE,6,51.54267,-0.14519,"Private room",4,1.5,1,"$75.00","$27.00",2,"$25.00",73,99
348217,2012-01-18,TRUE,6,51.544,-0.14509,"Entire home/apt",9,1,3,"$275.00","$150.00",6,"$25.00",38,93
348549,2012-02-17,TRUE,1,51.52756,-0.06337,"Entire home/apt",2,1,1,"$159.00","$30.00",1,"$0.00",53,98
349930,2012-02-19,TRUE,1,51.52832,-0.10085,"Private room",1,1,1,"$40.00","$0.00",1,"$25.00",67,94
350588,2012-02-19,TRUE,8,51.53638,-0.11896,"Private room",2,1,1,"$98.00","$30.00",1,"$15.00",91,98
354003,2012-02-22,TRUE,2,51.4908,-0.18779,"Entire home/apt",4,1,2,"$150.00","$60.00",1,"$0.00",102,91
358043,2011-06-21,TRUE,1,51.52907,-0.0409,"Entire home/apt",4,1,2,"$150.00","$84.00",2,"$15.00",32,97
358360,2012-02-26,TRUE,1,51.59737,-0.09714,"Private room",2,1.5,1,"$26.00","$29.00",1,"$15.00",246,96
362026,2012-02-26,TRUE,2,51.60081,-0.11489,"Private room",4,1,1,"$55.00","$15.00",1,"$20.00",58,99
367977,2012-03-04,TRUE,1,51.47219,-0.18464,"Entire home/apt",2,1,1,"$70.00","$0.00",2,"$50.00",25,98
372691,2012-03-06,TRUE,3,51.54184,-0.05923,"Private room",2,1,1,"$40.00","$35.00",1,"$20.00",39,97
374624,2012-01-12,TRUE,2,51.54093,-0.05371,"Entire home/apt",3,1,2,"$101.00","$60.00",3,"$50.00",19,97
377707,2012-03-10,TRUE,2,51.59895,-0.00705,"Private room",2,1,1,"$30.00","$15.00",1,"$20.00",137,97
377982,2012-03-07,TRUE,2,51.49819,-0.13836,"Entire home/apt",3,1,1,"$155.00","$50.00",2,"$30.00",70,98
378551,2012-03-11,TRUE,1,51.48364,-0.26736,"Entire home/apt",2,1,1,"$100.00","$50.00",1,"$25.00",45,97
379060,2011-07-30,TRUE,2,51.48249,-0.19929,"Entire home/apt",4,1,1,"$89.00","$40.00",2,"$20.00",232,97
384297,2011-06-27,TRUE,1,51.52053,-0.21086,"Private room",2,1.5,1,"$47.00","$20.00",1,"$10.00",49,94
384315,2012-03-14,TRUE,2,51.53606,-0.05657,"Private room",1,1,1,"$28.00","$30.00",1,"$20.00",68,98
384317,2012-03-14,TRUE,2,51.53609,-0.05553,"Entire home/apt",3,1,2,"$112.00","$84.00",3,"$15.00",4,100
384770,2012-03-15,TRUE,1,51.50364,-0.22161,"Entire home/apt",4,1,1,"$80.00","$30.00",2,"$20.00",55,93
387835,2012-03-17,TRUE,2,51.42833,-0.34646,"Private room",2,1,1,"$39.00","$0.00",1,"$12.00",136,99
388315,2012-03-17,TRUE,2,51.51707,-0.20067,"Entire home/apt",3,1,1,"$83.00","$30.00",1,"$20.00",134,95
388379,2012-03-17,TRUE,2,51.51048,-0.30576,"Private room",2,1,1,"$29.00","$6.00",1,"$8.00",283,95
388767,2012-03-17,TRUE,2,51.54293,-0.14073,"Private room",3,1,1,"$60.00","$55.00",1,"$10.00",456,97
388768,2012-03-17,TRUE,2,51.54498,-0.14073,"Entire home/apt",4,1,1,"$160.00","$70.00",1,"$0.00",31,95
389125,2012-03-17,TRUE,1,51.53883,-0.19502,"Private room",2,1,1,"$72.00","$0.00",1,"$10.00",60,96
389956,2012-03-18,TRUE,1,51.44985,-0.00532,"Private room",1,1,1,"$25.00","$0.00",1,"$0.00",32,96
390041,2012-03-18,TRUE,1,51.54719,-0.06462,"Entire home/apt",6,1,3,"$175.00","$60.00",6,"$20.00",17,96
390053,2012-03-18,TRUE,1,51.44158,-0.21591,"Private room",2,1,1,"$30.00","$0.00",1,"$20.00",121,96
390316,2012-03-18,TRUE,2,51.50174,-0.08908,"Private room",2,1,1,"$125.00","$20.00",1,"$0.00",97,95
390356,2012-03-18,TRUE,2,51.47386,-0.16355,"Private room",2,1,1,"$49.00","$0.00",1,"$0.00",274,96
390578,2012-03-18,TRUE,3,51.55454,-0.07819,"Private room",2,1,1,"$35.00","$0.00",1,"$10.00",138,95
390750,2012-03-18,TRUE,1,51.53536,-0.07706,"Private room",2,1,1,"$65.00","$0.00",1,"$4.00",268,97
390910,2012-03-18,TRUE,1,51.57267,-0.00208,"Private room",2,1,1,"$31.00","$5.00",1,"$7.00",74,97
391392,2012-03-18,TRUE,1,51.53435,-0.14093,"Private room",4,1,1,"$70.00","$25.00",1,"$25.00",241,94
391650,2012-03-18,TRUE,3,51.49252,-0.14219,"Private room",2,1,1,"$65.00","$20.00",1,"$20.00",40,92
391652,2012-03-18,TRUE,3,51.49162,-0.1433,"Private room",1,1,1,"$55.00","$15.00",1,"$20.00",44,96
391767,2012-03-18,TRUE,1,51.48821,0.00434,"Private room",2,1,1,"$47.00","$10.00",1,"$6.00",128,98
391850,2012-03-18,TRUE,2,51.45512,-0.03789,"Private room",2,1,1,"$25.00","$0.00",1,"$17.00",61,95
392045,2012-03-18,TRUE,2,51.41827,-0.13123,"Private room",2,1,1,"$65.00","$20.00",1,"$0.00",315,97
392145,2012-03-18,TRUE,2,51.51296,-0.17882,"Private room",1,1,1,"$30.00","$0.00",1,"$0.00",33,87
392220,2012-03-18,TRUE,1,51.52922,-0.10013,"Private room",2,1,1,"$40.00","$10.00",1,"$30.00",494,98
395062,2012-03-12,TRUE,3,51.5217,-0.32281,"Entire home/apt",4,1,0,"$60.00","$50.00",2,"$10.00",87,97
396235,2012-03-17,TRUE,1,51.55473,-0.12151,"Private room",1,1,1,"$42.00","$50.00",1,"$25.00",31,93
397262,2011-01-08,TRUE,3,51.45255,-0.05013,"Private room",4,1,2,"$30.00","$20.00",1,"$20.00",6,100
397504,2012-03-22,TRUE,1,51.48152,-0.18193,"Private room",1,1,1,"$63.00","$30.00",1,"$25.00",315,99
397507,2012-03-22,TRUE,2,51.46068,-0.18589,"Private room",1,1.5,1,"$40.00","$15.00",1,"$10.00",70,95
401972,2012-03-25,TRUE,4,51.51778,-0.20991,"Entire home/apt",5,2,3,"$280.00","$80.00",3,"$20.00",14,97
407529,2011-08-11,TRUE,1,51.54815,-0.36331,"Entire home/apt",2,1,1,"$50.00","$7.00",1,"$0.00",175,97
409270,2012-03-30,TRUE,4,51.4681,-0.13031,"Private room",2,1.5,1,"$60.00","$10.00",1,"$35.00",8,91
411637,2012-04-01,TRUE,2,51.52876,-0.08465,"Private room",1,1,1,"$55.00","$20.00",1,"$10.00",109,96
412652,2011-09-23,TRUE,1,51.52334,-0.05232,"Private room",2,1,1,"$51.00","$10.00",1,"$10.00",212,94
414862,2012-03-18,TRUE,1,51.39368,-0.28963,"Private room",1,2,1,"$25.00","$5.00",1,"$0.00",110,97
418561,2012-04-06,TRUE,1,51.53806,-0.10077,"Private room",1,1,1,"$42.00","$15.00",1,"$30.00",49,97
419664,2012-04-05,TRUE,2,51.46542,-0.00746,"Private room",1,1.5,1,"$30.00","$30.00",1,"$6.00",23,97
420699,2012-04-08,TRUE,2,51.56242,-0.08207,"Private room",2,1,1,"$40.00","$10.00",1,"$10.00",38,97
422950,2012-03-22,TRUE,1,51.48143,-0.12573,"Entire home/apt",7,1,3,"$95.00","$30.00",5,"$40.00",134,90
427080,2012-03-24,TRUE,4,51.50164,-0.11293,"Entire home/apt",2,1,1,"$90.00","$25.00",1,"$0.00",299,99
427936,2012-04-12,TRUE,2,51.54605,-0.07513,"Private room",2,1,1,"$50.00","$0.00",1,"$10.00",121,99
428590,2012-04-13,TRUE,1,51.51915,-0.20747,"Private room",2,1,1,"$45.00","$8.00",1,"$20.00",260,96
430114,2012-04-14,TRUE,2,51.48041,-0.24047,"Private room",2,1,1,"$68.00","$0.00",2,"$0.00",77,91
430227,2012-04-14,TRUE,2,51.55012,-0.07125,"Private room",2,1,1,"$78.00","$30.00",2,"$0.00",116,98
434962,2012-04-17,TRUE,2,51.51323,-0.13279,"Entire home/apt",4,1,2,"$191.00","$45.00",1,"$5.00",132,98
435600,2012-04-17,TRUE,1,51.54902,-0.08518,"Private room",2,1,1,"$48.00","$0.00",1,"$15.00",156,94
436458,2012-04-18,TRUE,1,51.47457,-0.01062,"Private room",2,1,1,"$35.00","$5.00",1,"$5.00",154,94
439047,2012-04-14,TRUE,2,51.55008,-0.073,"Private room",2,1,1,"$78.00","$30.00",2,"$0.00",125,97
439489,2012-04-20,TRUE,1,51.53975,-0.17057,"Private room",1,1,1,"$48.00","$10.00",1,"$25.00",272,95
440874,2011-04-20,TRUE,3,51.58324,-0.04124,"Entire home/apt",2,1,1,"$58.00","$30.00",2,"$7.00",39,98
442999,2012-04-23,TRUE,2,51.44407,-0.1057,"Private room",1,1.5,1,"$30.00","$10.00",1,"$10.00",57,97
446900,2012-04-12,TRUE,2,51.54582,-0.07416,"Entire home/apt",8,3,4,"$290.00","$60.00",6,"$30.00",65,98
450460,2012-04-27,TRUE,1,51.56571,-0.09854,"Entire home/apt",2,1,1,"$55.00","$35.00",1,"$30.00",47,99
451789,2012-04-14,TRUE,2,51.48109,-0.24142,"Private room",1,1,1,"$35.00","$0.00",1,"$0.00",147,92
452322,2012-04-27,TRUE,3,51.52004,-0.06777,"Entire home/apt",2,1,1,"$85.00","$40.00",2,"$25.00",91,95
452538,2012-04-29,TRUE,1,51.46116,-0.02256,"Private room",2,1,1,"$38.00","$0.00",1,"$25.00",33,94
453797,2012-04-16,TRUE,1,51.43752,-0.14833,"Private room",1,1,1,"$30.00","$5.00",1,"$0.00",27,99
454047,2012-04-30,TRUE,1,51.53731,-0.04191,"Entire home/apt",7,1.5,3,"$149.00","$60.00",1,"$0.00",37,96
455899,2012-05-01,TRUE,2,51.52482,-0.06636,"Private room",2,1,1,"$52.00","$15.00",1,"$15.00",284,93
456200,2012-03-23,TRUE,2,51.51476,-0.12823,"Private room",3,1,1,"$107.00","$35.00",2,"$35.00",282,94
458630,2012-03-17,TRUE,2,51.5103,-0.30402,"Entire home/apt",4,1,2,"$132.00","$16.00",4,"$35.00",60,96
459400,2012-04-13,TRUE,2,51.55925,-0.17647,"Entire home/apt",5,1,2,"$200.00","$0.00",4,"$10.00",23,94
459877,2012-05-03,TRUE,2,51.5237,-0.05623,"Private room",2,1,1,"$40.00","$25.00",1,"$10.00",20,95
460396,2012-03-18,TRUE,2,51.50366,-0.23652,"Private room",1,1,1,"$32.00","$25.00",1,"$15.00",30,95
460934,2012-03-18,TRUE,5,51.42431,-0.20423,"Private room",2,1.5,1,"$42.00","$15.00",1,"$35.00",16,95
460935,2012-03-18,TRUE,5,51.42284,-0.20052,"Private room",4,1.5,1,"$55.00","$15.00",1,"$35.00",7,91
460936,2012-03-18,TRUE,5,51.4244,-0.20729,"Private room",1,1.5,1,"$55.00","$15.00",1,"$35.00",10,86
460938,2012-03-18,TRUE,5,51.4234,-0.20739,"Private room",2,1.5,1,"$52.00","$14.00",1,"$25.00",7,97
461923,2012-04-11,TRUE,1,51.49301,0.07412,"Entire home/apt",5,2,2,"$82.00","$47.00",2,"$10.00",126,96
467555,2012-05-08,TRUE,4,51.56269,-0.36683,"Private room",1,1,1,"$37.00","$0.00",1,"$10.00",28,97
472083,2011-04-06,TRUE,3,51.5308,-0.11117,"Entire home/apt",6,2.5,3,"$350.00","$120.00",1,"$0.00",8,97
473145,2012-05-11,TRUE,6,51.49228,-0.10245,"Entire home/apt",8,1,2,"$199.00","$95.00",5,"$40.00",95,91
477286,2012-01-17,TRUE,16,51.53568,-0.20415,"Entire home/apt",7,1,2,"$146.00","$95.00",3,"$10.00",57,92
478975,2012-05-14,TRUE,5,51.51513,-0.11212,"Entire home/apt",4,1,1,"$109.00","$39.00",2,"$10.00",208,94
481099,2012-05-15,TRUE,1,51.55852,-0.04968,"Private room",2,1,1,"$44.00","$0.00",1,"$14.00",102,97
484978,2012-05-17,TRUE,1,51.5042,-0.21699,"Entire home/apt",4,2,2,"$175.00","$130.00",2,"$25.00",59,97
489295,2012-04-01,TRUE,2,51.52994,-0.08459,"Private room",2,1,1,"$88.00","$20.00",2,"$20.00",21,97
489405,2012-05-20,TRUE,2,51.53147,-0.07424,"Private room",2,1,1,"$47.00","$20.00",1,"$5.00",250,97
492946,2012-05-22,TRUE,1,51.49262,-0.13123,"Entire home/apt",4,1,1,"$90.00","$85.00",2,"$0.00",154,93
497373,2010-07-27,TRUE,2,51.50183,-0.10176,"Entire home/apt",2,1,1,"$145.00","$35.00",1,"$45.00",49,90
498610,2012-05-25,TRUE,1,51.55491,-0.11496,"Entire home/apt",6,1,2,"$150.00","$30.00",1,"$0.00",21,99
499163,2012-05-25,TRUE,2,51.55732,-0.14909,"Private room",2,2,1,"$43.00","$25.00",1,"$10.00",33,95
501621,2012-03-06,TRUE,3,51.54054,-0.05791,"Private room",2,2,1,"$44.00","$35.00",1,"$20.00",5,100
501837,2012-05-27,TRUE,1,51.54654,-0.16441,"Entire home/apt",4,1,2,"$99.00","$35.00",2,"$7.00",107,90
502566,2012-03-18,TRUE,2,51.50303,-0.23928,"Private room",2,1.5,1,"$39.00","$20.00",1,"$15.00",38,98
507677,2012-05-30,TRUE,2,51.52216,-0.21614,"Entire home/apt",4,1,1,"$105.00","$50.00",1,"$0.00",127,96
511210,2012-06-01,TRUE,1,51.54941,-0.3018,"Private room",2,1,1,"$25.00","$7.00",1,"$25.00",10,96
511429,2011-06-18,TRUE,1,51.54757,-0.10591,"Entire home/apt",4,1,1,"$95.00","$60.00",2,"$25.00",73,97
511768,2012-06-01,TRUE,1,51.53761,-0.00079,"Entire home/apt",5,1,2,"$100.00","$20.00",2,"$0.00",13,97
512822,2012-06-02,TRUE,1,51.57249,-0.13319,"Entire home/apt",2,1,1,"$100.00","$40.00",3,"$15.00",5,96
517941,2012-06-05,TRUE,0,51.53956,-0.05472,"Entire home/apt",2,1,1,"$240.00","$95.00",2,"$0.00",24,93
519190,2012-06-05,TRUE,1,51.53576,-0.00255,"Private room",1,1,1,"$50.00","$20.00",2,"$20.00",15,100
519296,2012-06-05,TRUE,2,51.52944,-0.02079,"Entire home/apt",5,2,2,"$104.00","$0.00",1,"$0.00",15,99
520350,2012-05-12,TRUE,4,51.5344,-0.11467,"Entire home/apt",6,1,2,"$79.00","$28.00",1,"$10.00",4,100
